"Ingredient","State","Pressure","Time (min)","Water Ratio","Release Method","Texture/Goal","Post-Processing","Source","Source URL"
"Red Lentils","Unsoaked","High","2-3","1:1.75","10 min NPR then QR","Mushy, breaks down","Transfer with slotted spoon","Rainbow Plant Life","https://rainbowplantlife.com/how-to-cook-beans-in-the-instant-pot/"
"Red Lentils","Unsoaked","High","3-4","1:2.5","15 min NPR then QR","Tender, mushy for dal","No draining needed","Minimalist Baker",""
"Red Lentils","Unsoaked","High","5","1:1.5","Quick release","Mushy regardless","Stir, no draining","Detoxinista","https://detoxinista.com/instant-pot-pinto-beans/"
"Red Lentils (Masoor Dal)","Unsoaked","High","5","1:3","5 min NPR then QR","Soft, creamy, mushy","Stir in lime juice","Piping Pot Curry","https://pipingpotcurry.com/instant-pot-cooking-times/"
"Red Lentils","Unsoaked","High","10","1:2","Quick release","Soft and creamy","Stir, season","Connoisseurus Veg",""
"Red Lentils","Unsoaked","High","4 or 8","1:1.75","10 min NPR then QR","4 min=mushy; 8 min=paste","Cool and use","Hint of Healthy",""
"Brown Lentils","Unsoaked","High","6-8","1:1.75","10 min NPR then release","Firm/al dente for salads","Discard aromatics, use slotted spoon","Rainbow Plant Life","https://rainbowplantlife.com/how-to-cook-beans-in-the-instant-pot/"
"Brown Lentils","Unsoaked","High","12","1:1.75","10 min NPR then release","Softer","Same as above","Rainbow Plant Life","https://rainbowplantlife.com/how-to-cook-beans-in-the-instant-pot/"
"Brown Lentils","Unsoaked","High","15-20","1:1.75","10 min NPR then release","Break down for puréed dishes","Same as above","Rainbow Plant Life","https://rainbowplantlife.com/how-to-cook-beans-in-the-instant-pot/"
"Brown Lentils","Unsoaked","High","5","1:1.75","Quick release","Al dente","Place on sheet pan to cool","Amy's Nutrition Kitchen",""
"Brown Lentils","Unsoaked","High","6-8","1:1.75","Quick release","More tender","Place on sheet pan to cool","Amy's Nutrition Kitchen",""
"Brown Lentils","Unsoaked","High","9","1:1.5","Quick release","Slight bite","Stir, shouldn't need draining","Detoxinista","https://detoxinista.com/instant-pot-pinto-beans/"
"Brown Lentils","Unsoaked","High","10","1:1.5","Quick release","Softer","Stir","Detoxinista","https://detoxinista.com/instant-pot-pinto-beans/"
"Brown Lentils","Unsoaked","High","15","1:2 (approx)","Natural release (~10 min)","Firm yet tender","Taste and adjust seasonings","The Kitchn","https://www.thekitchn.com/how-to-cook-beans-in-an-electric-pressure-cooker-234851"
"Brown Lentils","Unsoaked","High","10","2:1 water to lentils","Quick release","Tender but firm","Season with salt and pepper","Platings + Pairings",""
"Brown Lentils","Unsoaked","High","8","1:1.75","10 min NPR then QR","Firm","Cool down, use","Hint of Healthy",""
"Brown Lentils","Unsoaked","High","10","1:1.75","10 min NPR then QR","Soft","Cool and use","Hint of Healthy",""
"Brown Lentils","Unsoaked","High","15","1:1.75","10 min NPR then QR","Mushy","Cool and use","Hint of Healthy",""
"Brown Lentils","Unsoaked","High","8","1:2","10 min NPR then release","Tender, retain shape","Stir to combine","Grumpy's Honeybunch",""
"Green Lentils","Unsoaked","High","6-8","1:1.75","10 min NPR then release","Firm/al dente for salads","Discard aromatics","Rainbow Plant Life","https://rainbowplantlife.com/how-to-cook-beans-in-the-instant-pot/"
"Green Lentils","Unsoaked","High","12","1:1.75","10 min NPR then release","Softer","Same as above","Rainbow Plant Life","https://rainbowplantlife.com/how-to-cook-beans-in-the-instant-pot/"
"Green Lentils","Unsoaked","High","15-20","1:1.75","10 min NPR then release","Break down for soup/stew","Same as above","Rainbow Plant Life","https://rainbowplantlife.com/how-to-cook-beans-in-the-instant-pot/"
"Green Lentils","Unsoaked","High","5","1:1.75","Quick release","Al dente","Place on sheet pan to cool","Amy's Nutrition Kitchen",""
"Green Lentils","Unsoaked","High","6-8","1:1.75","Quick release","Tender","Place on sheet pan to cool","Amy's Nutrition Kitchen",""
"Green Lentils","Unsoaked","High","9","1:1.5","Quick release","Slight bite","Use slotted spoon","Detoxinista","https://detoxinista.com/instant-pot-pinto-beans/"
"Green Lentils","Unsoaked","High","10","1:1.5","Quick release","Softer","Use slotted spoon","Detoxinista","https://detoxinista.com/instant-pot-pinto-beans/"
"Green Lentils","Unsoaked","High","10","2:1 water to lentils","Quick release","Tender but firm","Season with salt and pepper","Platings + Pairings",""
"Green Lentils","Unsoaked","High","8","1:1.75","10 min NPR then QR","Quite firm","Cool and use","Hint of Healthy",""
"Green Lentils","Unsoaked","High","10","1:1.75","10 min NPR then QR","Soft","Cool and use","Hint of Healthy",""
"Green Lentils","Unsoaked","High","15","1:1.75","10 min NPR then QR","For daal/stews","Cool and use","Hint of Healthy",""
"Green Lentils","Unsoaked","High","7-10","1:2.5","15 min NPR then release","7 min=firm; 10 min=tender","Strain excess liquid","Minimalist Baker",""
"Green Lentils","Unsoaked","High","15","Broth with aromatics","Natural release (~10 min)","Firm yet tender","Adjust seasonings","The Kitchn","https://www.thekitchn.com/how-to-cook-beans-in-an-electric-pressure-cooker-234851"
"French Lentils (Puy)","Unsoaked","High","6-8","1:1.75","10 min NPR then release","Nice and firm, hold shape","Transfer with slotted spoon","Rainbow Plant Life","https://rainbowplantlife.com/how-to-cook-beans-in-the-instant-pot/"
"French Lentils","Unsoaked","High","10","1:2","15 min NPR","Hold shape, not mushy","Sauté 2-3 min with seasonings","Buttered Veg","https://www.butteredveg.com/simple-french-lentils-instant-pot/"
"French Lentils","Unsoaked","High","10","1:6 (with vegetables)","Natural release","Hold shape well","Simmer to reduce liquid","Dad Cooks Dinner",""
"French Lentils","Unsoaked","High","6","1:1.75","10 min NPR then QR","Firm (great for salads)","Cool and use","Hint of Healthy",""
"French Lentils","Unsoaked","High","8","1:1.75","10 min NPR then QR","Slightly softer","Cool and use","Hint of Healthy",""
"French Lentils","Unsoaked","High","14","In soup with wine","Natural release","Keep shape, not mushy","Season to taste","Foraged Dish",""
"French Lentils","Unsoaked","High","16","Combined with rice","16 min NPR","Don't break down","Stir and fluff","Vegan with Gusto",""
"Yellow Lentils (Split)","Unsoaked","High","3","In sautéed base","5 min NPR then release","Soft, creamy","Stir in lime juice","Piping Pot Curry (Moong Dal)","https://pipingpotcurry.com/instant-pot-cooking-times/"
"Yellow Lentils (Toor Dal)","Unsoaked","High","12","In vegetable curry","15 min NPR then QR","Soft and lumpy","Add lemon juice, cilantro","Pebbles and Toast",""
"Yellow Lentils (Moong Dal)","Unsoaked","High","6","With aromatics","10 min NPR","Soft, digestible","Adjust consistency","Indian Veggie Delight",""
"Yellow Split Peas/Dal","Unsoaked","High","5","1:3","5 min NPR","Soft, soup-like","Stir in lime juice","Plant Based IP",""
"Yellow Lentils (Split)","Unsoaked","High","2-3","Standard ratios","10 min NPR","Quite mushy","Use in recipes","Hint of Healthy",""
"Yellow Lentils (Dal Tadka)","Unsoaked","High","6","With onion masala","Natural release","Soft, for tadka topping","Add ghee tempering","My Heart Beets",""
"Black Beluga Lentils","Unsoaked","High","6-8","1:1.75 or 1:2","10 min NPR then release","Hold shape well","Stir in butter if desired","Rainbow Plant Life","https://rainbowplantlife.com/how-to-cook-beans-in-the-instant-pot/"
"Black Beluga Lentils","Unsoaked","High","10","1:2","10 min NPR then release","Softer","Same as above","Rainbow Plant Life","https://rainbowplantlife.com/how-to-cook-beans-in-the-instant-pot/"
"Black Beluga Lentils","Unsoaked","High","9","1:1.5","Quick release","Firm with slight bite","Stir and serve","Detoxinista","https://detoxinista.com/instant-pot-pinto-beans/"
"Chickpeas","Soaked 6-8 hrs","High","15","Cover with water (~2-2.25 cups)","Quick release","Tender with some bite","Drain excess liquid","Minimalist Baker",""
"Chickpeas","Soaked 6-8 hrs","High","17-18","Cover with water","Quick release","Super buttery, tender","Drain excess liquid","Minimalist Baker",""
"Chickpeas","Soaked 10+ hrs","High","12-14","Cover with water","Quick release","Tender","Drain excess liquid","Minimalist Baker",""
"Chickpeas","Soaked overnight","High","10-15","1:2","20 min Natural release","10 min=with bite; 15 min=buttery soft","Drain","Emilie Eats",""
"Chickpeas","Unsoaked","High","40-45","1:2","20 min Natural release","Tender","Drain excess water","Emilie Eats",""
"Chickpeas","Soaked overnight","High","15","Cover fully (~4-5 cups)","15 min Natural release","Tender, creamy","Drain excess liquid","Amy's Nutrition Kitchen",""
"Chickpeas","Unsoaked","High","45","Cover by 1 inch + at least 6 cups","15 min Natural release","Tender","Drain","Amy's Nutrition Kitchen",""
"Chickpeas","Unsoaked","High","45","Cover by 1 inch","10 min NPR then QR","Lightly chewy (for salad)","Drain","Natasha's Kitchen",""
"Chickpeas","Unsoaked","High","50","Cover by 1 inch","15 min NPR","Soft and tender (for hummus)","Drain","Natasha's Kitchen",""
"Chickpeas","Soaked","High","15-18","Cover by 1 inch","Quick release","Creamy and tender","Drain","Natasha's Kitchen",""
"Chickpeas","Soaked overnight","High","15-20","3 cups fresh water","Natural release","Perfectly cooked","Drain","Detoxinista","https://detoxinista.com/instant-pot-pinto-beans/"
"Chickpeas","Unsoaked","High","42","4 cups water/stock","20 min NPR","Tender with bit of chew","Drain","Amy + Jacky (Pressure Cook Recipes)",""
"Chickpeas","Unsoaked","High","60","4 cups water/stock","20 min NPR","Tender soft","Drain","Amy + Jacky",""
"Chickpeas","Soaked overnight","High","5","4 cups water/stock","20 min NPR","Tender & creamy","Drain","Amy + Jacky",""
"Chickpeas","Soaked overnight","High","10","3 cups water","10 min NPR then QR","Tender","Drain and reserve water","Everyday Nourishing",""
"Chickpeas","Soaked (aged beans)","High","15","3 cups water","10 min NPR then QR","Soft","Drain","Everyday Nourishing",""
"Chickpeas","Unsoaked (aged)","High","55","More water","10 min NPR then QR","Tender","Drain","Everyday Nourishing",""
"Chickpeas","Soaked overnight","High","20","1:3","10 min NPR then manual","Tender","Strain liquid","Piping Pot Curry","https://pipingpotcurry.com/instant-pot-cooking-times/"
"Chickpeas","Unsoaked","High","40","1:3","10 min NPR then manual","Tender","Strain liquid","Piping Pot Curry","https://pipingpotcurry.com/instant-pot-cooking-times/"
"Chickpeas","Soaked overnight","High","13-15","3 cups water","Natural release","Tender","Use immediately or store","Indian Veggie Delight",""
"Chickpeas","Unsoaked","High","35-40","5 cups water","Natural release","Tender","Use immediately or store","Indian Veggie Delight",""
"Chickpeas","Soaked overnight","High","14-15","Cover by 1 inch (5 cups)","15 min NPR","Tender","Drain","Becoming You with Julie",""
"Chickpeas","Unsoaked","High","40-45","Cover by 2 inches (6-7 cups)","15-20 min NPR","Tender","Drain","Becoming You with Julie",""
